,page_type
770,government
771,company
772,government
773,company
774,government
775,politician
776,tvshow
777,company
778,company
779,tvshow
780,company
781,company
782,government
783,government
784,government
785,company
786,company
787,company
788,politician
789,company
790,tvshow
791,politician
792,government
793,government
794,tvshow
795,government
796,tvshow
797,government
798,tvshow
799,government
800,politician
801,politician
802,politician
803,politician
804,company
805,company
806,politician
807,tvshow
808,government
809,government
810,tvshow
811,politician
812,politician
813,company
814,company
815,politician
816,company
817,politician
818,government
819,politician
820,government
821,government
822,government
823,company
824,company
825,government
826,company
827,politician
828,tvshow
829,government
830,government
831,politician
832,politician
833,company
834,tvshow
835,politician
836,politician
837,politician
838,tvshow
839,tvshow
840,government
841,company
842,politician
843,company
844,tvshow
845,politician
846,government
847,politician
848,politician
849,company
850,government
851,tvshow
852,company
853,company
854,government
855,politician
856,politician
857,company
858,company
859,government
860,politician
861,company
862,tvshow
863,company
864,government
865,government
866,government
867,government
868,company
869,politician
870,politician
871,company
872,company
873,politician
874,company
875,politician
876,government
877,politician
878,company
879,politician
880,politician
881,government
882,government
883,politician
884,company
885,politician
886,politician
887,tvshow
888,politician
889,government
890,politician
891,tvshow
892,politician
893,tvshow
894,politician
895,politician
896,company
897,government
898,company
899,government
900,tvshow
901,government
902,company
903,politician
904,government
905,company
906,company
907,politician
908,politician
909,tvshow
910,government
911,tvshow
912,tvshow
913,government
914,company
915,government
916,government
917,government
918,company
919,government
920,politician
921,tvshow
922,government
923,company
924,tvshow
925,politician
926,tvshow
927,government
928,tvshow
929,politician
930,politician
931,company
932,politician
933,government
934,company
935,government
936,politician
937,government
938,politician
939,tvshow
940,company
941,tvshow
942,company
943,government
944,government
945,politician
946,company
947,politician
948,company
949,company
950,tvshow
951,company
952,company
953,company
954,politician
955,politician
956,politician
957,government
958,tvshow
959,tvshow
960,politician
961,government
962,government
963,tvshow
964,politician
965,company
966,government
967,company
968,politician
969,company
970,company
971,company
972,government
973,government
974,politician
975,company
976,tvshow
977,government
978,politician
979,politician
980,tvshow
981,company
982,government
983,government
984,company
985,company
986,tvshow
987,government
988,politician
989,politician
990,company
991,tvshow
992,government
993,politician
994,politician
995,government
996,company
997,government
998,tvshow
999,government
1000,government
1001,company
1002,company
1003,tvshow
1004,government
1005,company
1006,politician
1007,government
1008,politician
1009,tvshow
1010,politician
1011,company
1012,tvshow
1013,politician
1014,government
1015,politician
1016,politician
1017,government
1018,tvshow
1019,tvshow
1020,politician
1021,politician
1022,company
1023,government
1024,government
1025,government
1026,company
1027,company
1028,tvshow
1029,company
1030,company
1031,tvshow
1032,politician
1033,company
1034,company
1035,politician
1036,government
1037,politician
1038,company
1039,politician
1040,government
1041,government
1042,tvshow
1043,company
1044,company
1045,tvshow
1046,company
1047,government
1048,company
1049,government
1050,government
1051,company
1052,company
1053,government
1054,company
1055,politician
1056,company
1057,company
1058,politician
1059,company
1060,politician
1061,politician
1062,politician
1063,government
1064,government
1065,government
1066,government
1067,government
1068,government
1069,company
1070,tvshow
1071,government
1072,tvshow
1073,company
1074,company
1075,politician
1076,politician
1077,politician
1078,government
1079,government
1080,company
1081,company
1082,company
1083,tvshow
1084,government
1085,government
1086,government
1087,government
1088,politician
1089,politician
1090,politician
1091,company
1092,tvshow
1093,government
1094,government
1095,company
1096,government
1097,government
1098,company
1099,tvshow
1100,government
1101,government
1102,company
1103,government
1104,company
1105,government
1106,company
1107,government
1108,government
1109,politician
1110,politician
1111,politician
1112,government
1113,company
1114,government
1115,tvshow
1116,company
1117,politician
1118,tvshow
1119,government
1120,politician
1121,politician
1122,politician
1123,government
1124,government
1125,government
1126,tvshow
1127,politician
1128,tvshow
1129,company
1130,politician
1131,tvshow
1132,politician
1133,tvshow
1134,company
1135,politician
1136,politician
1137,government
1138,politician
1139,tvshow
1140,tvshow
1141,government
1142,politician
1143,company
1144,company
1145,government
1146,government
1147,company
1148,tvshow
1149,politician
1150,politician
1151,politician
1152,company
1153,politician
1154,politician
1155,government
1156,company
1157,company
1158,government
1159,tvshow
1160,company
1161,government
1162,company
1163,company
1164,politician
1165,politician
1166,tvshow
1167,company
1168,politician
1169,government
1170,company
1171,politician
1172,tvshow
1173,company
1174,tvshow
1175,company
1176,company
1177,tvshow
1178,tvshow
1179,government
1180,politician
1181,politician
1182,tvshow
1183,tvshow
1184,company
1185,tvshow
1186,politician
1187,government
1188,politician
1189,government
1190,company
1191,tvshow
1192,government
1193,politician
1194,government
1195,government
1196,government
1197,government
1198,government
1199,politician
1200,government
1201,government
1202,politician
1203,politician
1204,government
1205,government
1206,company
1207,government
1208,politician
1209,government
1210,company
1211,tvshow
1212,tvshow
1213,company
1214,company
1215,government
1216,tvshow
1217,company
1218,tvshow
1219,politician
1220,company
1221,government
1222,tvshow
1223,politician
1224,politician
1225,company
1226,politician
1227,government
1228,politician
1229,politician
1230,tvshow
1231,government
1232,tvshow
1233,tvshow
1234,politician
1235,company
1236,politician
1237,company
1238,politician
1239,tvshow
1240,government
1241,company
1242,government
1243,government
1244,company
1245,government
1246,government
1247,government
1248,government
1249,company
1250,company
1251,company
1252,politician
1253,company
1254,company
1255,company
1256,government
1257,politician
1258,company
1259,tvshow
1260,tvshow
1261,politician
1262,government
1263,government
1264,company
1265,company
1266,politician
1267,politician
1268,company
1269,government
1270,politician
1271,government
1272,tvshow
1273,government
1274,company
1275,politician
1276,company
1277,company
1278,government
1279,government
1280,politician
1281,company
1282,government
1283,government
1284,politician
1285,politician
1286,government
1287,politician
1288,company
1289,government
1290,government
1291,tvshow
1292,government
1293,politician
1294,tvshow
1295,government
1296,tvshow
1297,company
1298,company
1299,politician
1300,company
1301,company
1302,tvshow
1303,politician
1304,politician
1305,company
1306,government
1307,company
1308,company
1309,government
1310,company
1311,government
1312,politician
1313,government
1314,tvshow
1315,tvshow
1316,government
1317,company
1318,politician
1319,politician
1320,politician
1321,company
1322,company
1323,tvshow
1324,government
1325,government
1326,politician
1327,government
1328,government
1329,government
1330,government
1331,government
1332,company
1333,company
1334,government
1335,company
1336,company
1337,government
1338,politician
1339,government
1340,tvshow
1341,politician
1342,politician
1343,politician
1344,politician
1345,government
1346,company
1347,government
1348,politician
1349,government
1350,politician
1351,government
1352,company
1353,tvshow
1354,tvshow
1355,government
1356,politician
1357,politician
1358,company
1359,politician
1360,government
1361,company
1362,company
1363,politician
1364,government
1365,tvshow
1366,government
1367,government
1368,government
1369,company
1370,company
1371,politician
1372,government
1373,government
1374,company
1375,government
1376,politician
1377,politician
1378,tvshow
1379,government
1380,company
1381,government
1382,politician
1383,tvshow
1384,company
1385,government
1386,politician
1387,government
1388,government
1389,government
1390,government
1391,government
1392,government
1393,company
1394,tvshow
1395,government
1396,politician
1397,government
1398,government
1399,company
1400,politician
1401,politician
1402,tvshow
1403,tvshow
1404,company
1405,tvshow
1406,government
1407,company
1408,politician
1409,tvshow
1410,company
1411,politician
1412,company
1413,politician
1414,government
1415,government
1416,politician
1417,company
1418,tvshow
1419,tvshow
1420,politician
1421,government
1422,politician
1423,tvshow
1424,tvshow
1425,politician
1426,government
1427,politician
1428,government
1429,tvshow
1430,government
1431,government
1432,government
1433,tvshow
1434,tvshow
1435,politician
1436,company
1437,government
1438,politician
1439,politician
1440,politician
1441,company
1442,company
1443,politician
1444,tvshow
1445,company
1446,tvshow
1447,tvshow
1448,politician
1449,company
1450,government
1451,company
1452,government
1453,company
1454,government
1455,company
1456,company
1457,tvshow
1458,government
1459,politician
1460,government
1461,politician
1462,company
1463,government
1464,politician
1465,tvshow
1466,government
1467,politician
1468,company
1469,tvshow
1470,politician
1471,tvshow
1472,company
1473,company
1474,government
1475,tvshow
1476,company
1477,company
1478,government
1479,tvshow
1480,politician
1481,politician
1482,government
1483,politician
1484,tvshow
1485,tvshow
1486,company
1487,government
1488,politician
1489,company
1490,politician
1491,tvshow
1492,politician
1493,politician
1494,government
1495,company
1496,tvshow
1497,company
1498,company
1499,politician
1500,government
1501,government
1502,government
1503,government
1504,tvshow
1505,company
1506,company
1507,government
1508,government
1509,politician
1510,politician
1511,company
1512,government
1513,company
1514,company
1515,tvshow
1516,government
1517,tvshow
1518,government
1519,company
1520,government
1521,company
1522,government
1523,tvshow
1524,politician
1525,politician
1526,politician
1527,politician
1528,company
1529,company
1530,government
1531,government
1532,politician
1533,company
1534,tvshow
1535,government
1536,company
1537,company
1538,government
1539,company
1540,politician
1541,tvshow
1542,politician
1543,politician
1544,company
1545,government
1546,tvshow
1547,tvshow
1548,politician
1549,government
1550,company
1551,company
1552,company
1553,government
1554,company
1555,politician
1556,politician
1557,government
1558,tvshow
1559,politician
1560,government
1561,politician
1562,tvshow
1563,company
1564,company
1565,politician
1566,company
1567,company
1568,government
1569,politician
1570,company
1571,government
1572,politician
1573,government
1574,government
1575,politician
1576,tvshow
1577,company
1578,company
1579,politician
1580,company
1581,company
1582,politician
1583,government
1584,government
1585,tvshow
1586,government
1587,politician
1588,government
1589,company
1590,politician
1591,government
1592,politician
1593,politician
1594,government
1595,government
1596,company
1597,politician
1598,politician
1599,government
1600,government
1601,politician
1602,politician
1603,tvshow
1604,politician
1605,tvshow
1606,government
1607,company
1608,tvshow
1609,company
1610,company
1611,company
1612,politician
1613,tvshow
1614,government
1615,government
1616,politician
1617,government
1618,tvshow
1619,government
1620,tvshow
1621,politician
1622,government
1623,government
1624,politician
1625,company
1626,company
1627,politician
1628,company
1629,company
1630,company
1631,company
1632,politician
1633,company
1634,government
1635,politician
1636,government
1637,government
1638,government
1639,government
1640,company
1641,company
1642,tvshow
1643,politician
1644,tvshow
1645,company
1646,politician
1647,government
1648,company
1649,government
1650,government
1651,politician
1652,tvshow
1653,politician
1654,government
1655,company
1656,politician
1657,company
1658,government
1659,tvshow
1660,company
1661,politician
1662,company
1663,tvshow
1664,politician
1665,government
1666,tvshow
1667,tvshow
1668,politician
1669,politician
1670,politician
1671,company
1672,company
1673,government
1674,company
1675,company
1676,politician
1677,company
1678,government
1679,company
1680,government
1681,tvshow
1682,politician
1683,government
1684,politician
1685,company
1686,tvshow
1687,company
1688,company
1689,politician
1690,government
1691,politician
1692,politician
1693,government
1694,government
1695,politician
1696,tvshow
1697,company
1698,tvshow
1699,tvshow
1700,government
1701,government
1702,government
1703,government
1704,company
1705,politician
1706,company
1707,politician
1708,politician
1709,company
1710,government
1711,company
1712,company
1713,company
1714,politician
1715,tvshow
1716,politician
1717,company
1718,company
1719,tvshow
1720,company
1721,tvshow
1722,government
1723,politician
1724,government
1725,company
1726,government
1727,politician
1728,company
1729,company
1730,tvshow
1731,government
1732,politician
1733,government
1734,politician
1735,company
1736,company
1737,company
1738,company
1739,government
1740,government
1741,politician
1742,government
1743,company
1744,government
1745,government
1746,government
1747,company
1748,company
1749,tvshow
1750,government
1751,government
1752,politician
1753,tvshow
1754,company
1755,company
1756,tvshow
1757,company
1758,tvshow
1759,politician
1760,government
1761,government
1762,tvshow
1763,politician
1764,tvshow
1765,politician
1766,company
1767,government
1768,company
1769,company
1770,company
1771,government
1772,government
1773,government
1774,company
1775,company
1776,government
1777,tvshow
1778,tvshow
1779,government
1780,government
1781,government
1782,company
1783,government
1784,politician
1785,government
1786,tvshow
1787,tvshow
1788,company
1789,tvshow
1790,politician
1791,politician
1792,tvshow
1793,government
1794,politician
1795,company
1796,politician
1797,company
1798,politician
1799,government
1800,company
1801,politician
1802,company
1803,tvshow
1804,tvshow
1805,company
1806,politician
1807,tvshow
1808,company
1809,politician
1810,government
1811,company
1812,company
1813,company
1814,government
1815,politician
1816,government
1817,government
1818,government
1819,company
1820,government
1821,tvshow
1822,politician
1823,government
1824,company
1825,company
1826,company
1827,government
1828,politician
1829,politician
1830,tvshow
1831,government
1832,company
1833,company
1834,politician
1835,government
1836,government
1837,company
1838,company
1839,company
1840,politician
1841,politician
1842,government
1843,government
1844,politician
1845,company
1846,company
1847,government
1848,government
1849,government
1850,politician
1851,government
1852,tvshow
1853,company
1854,government
1855,company
1856,company
1857,company
1858,company
1859,politician
1860,politician
1861,company
1862,company
1863,company
1864,tvshow
1865,company
1866,politician
1867,company
1868,government
1869,company
1870,tvshow
1871,politician
1872,politician
1873,politician
1874,politician
1875,company
1876,company
1877,government
1878,tvshow
1879,government
1880,government
1881,politician
1882,politician
1883,company
1884,company
1885,politician
1886,tvshow
1887,politician
1888,government
1889,company
1890,company
1891,government
1892,government
1893,politician
1894,company
1895,government
1896,government
1897,company
1898,tvshow
1899,politician
1900,company
1901,government
1902,politician
1903,politician
1904,tvshow
1905,tvshow
1906,politician
1907,politician
1908,company
1909,politician
1910,politician
1911,company
1912,government
1913,government
1914,government
1915,company
1916,politician
1917,government
1918,company
1919,tvshow
1920,politician
1921,government
1922,company
1923,politician
1924,tvshow
1925,politician
1926,company
1927,company
1928,politician
1929,tvshow
1930,politician
1931,tvshow
1932,company
1933,government
1934,company
1935,company
1936,politician
1937,government
1938,company
1939,politician
1940,politician
1941,tvshow
1942,tvshow
1943,government
1944,government
1945,tvshow
1946,government
1947,company
1948,politician
1949,government
1950,politician
1951,politician
1952,tvshow
1953,politician
1954,tvshow
1955,politician
1956,government
1957,government
1958,tvshow
1959,government
1960,government
1961,tvshow
1962,politician
1963,company
1964,government
1965,politician
1966,tvshow
1967,politician
1968,tvshow
1969,government
1970,government
1971,company
1972,company
1973,company
1974,company
1975,tvshow
1976,company
1977,politician
1978,government
1979,government
1980,politician
1981,government
1982,company
1983,company
1984,tvshow
1985,politician
1986,company
1987,company
1988,company
1989,company
1990,company
1991,government
1992,company
1993,government
1994,company
1995,tvshow
1996,tvshow
1997,politician
1998,government
1999,politician
2000,company
2001,company
2002,company
2003,tvshow
2004,tvshow
2005,company
2006,government
2007,government
2008,politician
2009,tvshow
2010,politician
2011,company
2012,company
2013,politician
2014,government
2015,company
2016,government
2017,company
2018,government
2019,politician
2020,tvshow
2021,company
2022,company
2023,politician
2024,government
2025,politician
2026,government
2027,government
2028,company
2029,government
2030,politician
2031,government
2032,company
2033,company
2034,company
2035,company
2036,company
2037,government
2038,company
2039,company
2040,politician
2041,tvshow
2042,tvshow
2043,politician
2044,politician
2045,politician
2046,company
2047,company
2048,government
2049,company
2050,tvshow
2051,politician
2052,company
2053,company
2054,company
2055,politician
2056,tvshow
2057,company
2058,politician
2059,government
2060,politician
2061,company
2062,tvshow
2063,tvshow
2064,company
2065,government
2066,politician
2067,company
2068,government
2069,company
2070,company
2071,company
2072,government
2073,company
2074,politician
2075,government
2076,tvshow
2077,company
2078,government
2079,company
2080,company
2081,government
2082,company
2083,tvshow
2084,company
2085,government
2086,tvshow
2087,politician
2088,tvshow
2089,politician
2090,politician
2091,company
2092,politician
2093,tvshow
2094,company
2095,politician
2096,government
2097,company
2098,company
2099,company
2100,tvshow
2101,company
2102,company
2103,government
2104,politician
2105,company
2106,tvshow
2107,government
2108,tvshow
2109,politician
2110,government
2111,company
2112,company
2113,politician
2114,company
2115,tvshow
2116,company
2117,tvshow
2118,politician
2119,company
2120,government
2121,government
2122,politician
2123,government
2124,government
2125,tvshow
2126,company
2127,company
2128,company
2129,politician
2130,company
2131,politician
2132,company
2133,government
2134,politician
2135,politician
2136,politician
2137,company
2138,company
2139,company
2140,government
2141,government
2142,government
2143,company
2144,company
2145,company
2146,tvshow
2147,company
2148,government
2149,politician
2150,politician
2151,government
2152,politician
2153,company
2154,company
2155,company
2156,tvshow
2157,government
2158,company
2159,politician
2160,tvshow
2161,government
2162,government
2163,tvshow
2164,government
2165,company
2166,politician
2167,government
2168,tvshow
2169,company
2170,government
2171,tvshow
2172,government
2173,tvshow
2174,government
2175,government
2176,company
2177,government
2178,company
2179,government
2180,company
2181,politician
2182,government
2183,company
2184,company
2185,government
2186,government
2187,company
2188,company
2189,tvshow
2190,company
2191,tvshow
2192,company
2193,government
2194,company
2195,government
2196,company
2197,tvshow
2198,tvshow
2199,company
2200,company
2201,government
2202,government
2203,government
2204,government
2205,government
2206,company
2207,company
2208,politician
2209,government
2210,company
2211,tvshow
2212,company
2213,government
2214,politician
2215,tvshow
2216,company
2217,company
2218,government
2219,government
2220,government
2221,tvshow
2222,company
2223,politician
2224,government
2225,government
2226,company
2227,company
2228,company
2229,company
2230,tvshow
2231,company
2232,government
2233,government
2234,tvshow
2235,tvshow
2236,government
2237,company
2238,politician
2239,government
2240,tvshow
2241,government
2242,government
2243,tvshow
2244,government
2245,government
2246,politician
2247,politician
2248,tvshow
2249,government
2250,company
2251,tvshow
2252,politician
2253,company
2254,politician
2255,politician
2256,government
2257,tvshow
2258,government
2259,government
2260,tvshow
2261,politician
2262,tvshow
2263,politician
2264,company
2265,company
2266,company
2267,politician
2268,company
2269,company
2270,politician
2271,government
2272,government
2273,government
2274,government
2275,politician
2276,government
2277,tvshow
2278,politician
2279,company
2280,government
2281,tvshow
2282,politician
2283,company
2284,government
2285,tvshow
2286,politician
2287,government
2288,government
2289,government
2290,politician
2291,company
2292,company
2293,government
2294,government
2295,government
2296,politician
2297,government
2298,company
2299,politician
2300,company
2301,government
2302,company
2303,company
2304,company
2305,government
2306,company
2307,politician
2308,government
2309,politician
2310,tvshow
2311,government
2312,government
2313,government
2314,company
2315,politician
2316,tvshow
2317,politician
2318,government
2319,tvshow
2320,politician
2321,company
2322,company
2323,government
2324,government
2325,company
2326,government
2327,government
2328,government
2329,politician
2330,tvshow
2331,government
2332,politician
2333,tvshow
2334,government
2335,politician
2336,government
2337,tvshow
2338,politician
2339,tvshow
2340,politician
2341,government
2342,politician
2343,politician
2344,politician
2345,government
2346,government
2347,company
2348,tvshow
2349,government
2350,company
2351,politician
2352,politician
2353,government
2354,tvshow
2355,government
2356,government
2357,politician
2358,company
2359,government
2360,company
2361,company
2362,government
2363,company
2364,tvshow
2365,company
2366,government
2367,government
2368,company
2369,company
2370,tvshow
2371,company
2372,government
2373,company
2374,politician
2375,government
2376,company
2377,government
2378,politician
2379,politician
2380,politician
2381,politician
2382,company
2383,government
2384,company
2385,politician
2386,politician
2387,government
2388,tvshow
2389,politician
2390,tvshow
2391,company
2392,politician
2393,politician
2394,government
2395,politician
2396,company
2397,company
2398,politician
2399,politician
2400,company
2401,company
2402,government
2403,politician
2404,government
2405,government
2406,politician
2407,politician
2408,politician
2409,government
2410,tvshow
2411,company
2412,politician
2413,company
2414,government
2415,company
2416,government
2417,politician
2418,company
2419,company
2420,government
2421,company
2422,government
2423,company
2424,government
2425,company
2426,company
2427,company
2428,company
2429,politician
2430,company
2431,politician
2432,tvshow
2433,politician
2434,government
2435,politician
2436,government
2437,politician
2438,tvshow
2439,politician
2440,tvshow
2441,company
2442,government
2443,politician
2444,government
2445,politician
2446,company
2447,company
2448,company
2449,politician
2450,government
2451,company
2452,politician
2453,company
2454,company
2455,politician
2456,company
2457,company
2458,company
2459,government
2460,government
2461,government
2462,government
2463,government
2464,government
2465,company
2466,tvshow
2467,politician
2468,politician
2469,politician
2470,politician
2471,politician
2472,company
2473,company
2474,government
2475,tvshow
2476,company
2477,tvshow
2478,tvshow
2479,company
2480,company
2481,company
2482,politician
2483,government
2484,government
2485,tvshow
2486,politician
2487,tvshow
2488,politician
2489,government
2490,company
2491,government
2492,politician
2493,company
2494,company
2495,company
2496,government
2497,politician
2498,company
2499,government
2500,politician
2501,company
2502,company
2503,tvshow
2504,tvshow
2505,politician
2506,government
2507,politician
2508,politician
2509,government
2510,company
2511,company
2512,government
2513,government
2514,company
2515,politician
2516,tvshow
2517,politician
2518,government
2519,government
2520,company
2521,company
2522,company
2523,government
2524,politician
2525,government
2526,company
2527,politician
2528,company
2529,company
2530,company
2531,government
2532,tvshow
2533,tvshow
2534,tvshow
2535,company
2536,tvshow
2537,government
2538,company
2539,tvshow
2540,politician
2541,government
2542,company
2543,company
2544,government
2545,politician
2546,tvshow
2547,company
2548,politician
2549,company
2550,government
2551,politician
2552,company
2553,company
2554,tvshow
2555,politician
2556,company
2557,politician
2558,politician
2559,company
2560,company
2561,company
2562,government
2563,government
2564,government
2565,government
2566,government
2567,government
2568,company
2569,tvshow
2570,government
2571,politician
2572,government
2573,government
2574,company
2575,politician
2576,tvshow
2577,company
2578,politician
2579,government
2580,government
2581,company
2582,company
2583,government
2584,government
2585,government
2586,politician
2587,politician
2588,government
2589,government
2590,politician
2591,company
2592,politician
2593,tvshow
2594,government
2595,company
2596,government
2597,company
2598,government
2599,government
2600,tvshow
2601,company
2602,company
2603,tvshow
2604,government
2605,government
2606,politician
2607,company
2608,government
2609,politician
2610,politician
2611,government
2612,politician
2613,politician
2614,tvshow
2615,government
2616,politician
2617,government
2618,company
2619,company
2620,politician
2621,politician
2622,company
2623,tvshow
2624,politician
2625,politician
2626,government
2627,company
2628,government
2629,company
